date,heure_fr,heure_toronto,competition,domicile,exterieur,score,statut
2026-05-10,21:00,15:00,Ligue 1 - Journée 33,Le Havre,OM,0-1,termine
2026-05-17,15:00,09:00,Ligue 1 - Journée 34,OM,Rennes,3-1,termine
2026-08-21,20:45,14:45,Ligue 1 - Journée 01,OM,Strasbourg,4-0,termine
2026-08-30,20:45,14:45,Ligue 1 - Journée 02,Monaco,OM,2-0,termine
2026-09-06,20:45,14:45,Ligue 1 - Journée 03,OM,Paris FC,2-3,termine
2026-09-11,20:45,14:45,Ligue 1 - Journée 04,Rennes,OM,1-0,termine 
2026-09-17,21:00,15:00,Europa League - Journée 01,Besiktas,OM,,a_venir 
2026-09-20,20:45,14:45,Ligue 1 - Journée 05,OM,PSG,,a_venir 
2026-10-11,20:45,14:45,Ligue 1 - Journée 06,ESTAC,OM,,a_venir 
2026-10-15,21:00,15:00,Europa League - Journée 02,OM,Olympiacos,,a_venir 
2026-10-18,15:00,09:00,Ligue 1 - Journée 07,Angers,OM,,a_venir 
